SYNTAX,STRING,LIST,TUPLE,DICTIONARY,FORMAT
len(),Y,Y,Y,Y,len(object)
del,Y,Y,Y,Y,del object()
clear(),N,Y,Y,Y,obj.clear()
min(),Y,Y,Y,Y,min(obj)
max(),Y,Y,Y,Y,max(obj)
index(),Y,Y,Y,Y,obj.index(ele)
copy(),N,Y,N,Y,obj.copy()
sum(),N,Y,Y,Y,sum(obj)
count(),Y,Y,Y,Y,obj.count(ele)
capitalize(),Y,N,N,N,obj.capitalize()
find(),Y,N,N,N,"obj.find(ele,[start,end])"
isalnum(),Y,N,N,N,obj.isalnum()
isalpha(),Y,N,N,N,obj.isalpha()
isdigit(),Y,N,N,N,obj.isdigit()
isupper(),Y,N,N,N,obj.isupper()
islower(),Y,N,N,N,obj.islower()
isspace(),Y,N,N,N,obj.isspace()
upper(),Y,N,N,N,obj.upper()
lower(),Y,N,N,N,obj.lower()
title(),Y,N,N,N,obj.title()
swapcase(),Y,N,N,N,obj.swapcase()
lstrip([char]),Y,N,N,N,obj.syntax(ele)
rstrip([char]),Y,N,N,N,obj.syntax(ele)
strip(),Y,N,N,N,obj.syntax(ele)
startswith(),Y,N,N,N,obj.syntax(ele)
endswith(),Y,N,N,N,obj.syntax(ele)
replace(),Y,N,N,N,"obj.syntax(ele,ele)"
join(),Y,N,N,N,obj.syntax(ele)
split(),Y,N,N,N,obj.syntax(ele)
partition(),Y,N,N,N,obj.syntax(ele)
append(),N,Y,N,N,obj.append(ele)
exend(),N,Y,N,N,obj.extend(obj)
insert(),N,Y,N,N,"obj.insert(pos,ele)"
pop(),N,y,N,N,obj.pop(ind)
popitem(),N,N,N,Y,obj.popitem(item)
remove(),N,Y,N,N,obj.remove(ele)
reverse(),N,Y,N,N,obj.reverse()
sort(),N,Y,N,N,obj.sort([reverse=True/False])
sorted(),Y,Y,Y,Y,"sorted(obj,[reverse=True/False])"
setdefault(),N,N,N,Y,"obj.setdefault(key,value)"
get(),N,N,N,Y,"obj.get(ele,[comment if not found])"
update(),N,Y,N,Y,obj1.update(obj2)
keys(),N,N,N,Y,obj.syntax()
values(),N,N,N,Y,obj.syntax()
items(),N,N,N,Y,obj.syntax()
